codigo,fecha,p1_t,p2_t,p3_t,p4_t,p5_t,p6_t,p7_t,p8_t,p9_t,p10_t,p11_t,p12_t,p13_t,p14_t,p15_t,p16_t,p17_t,p18_t,p19_t,p20_t,p21_t,p22_t,p23_t,p24_t,p1_h,p2_h,p3_h,p4_h,p5_h,p6_h,p7_h,p8_h,p9_h,p10_h,p11_h,p12_h,p13_h,p14_h,p15_h,p16_h,p17_h,p18_h,p19_h,p20_h,p21_h,p22_h,p23_h,p24_h,p1_v,p2_v,p3_v,p4_v,p5_v,p6_v,p7_v,p8_v,p9_v,p10_v,p11_v,p12_v,p13_v,p14_v,p15_v,p16_v,p17_v,p18_v,p19_v,p20_v,p21_v,p22_v,p23_v,p24_v,ucp,festivo,p1_i,p2_i,p3_i,p4_i,p5_i,p6_i,p7_i,p8_i,p9_i,p10_i,p11_i,p12_i,p13_i,p14_i,p15_i,p16_i,p17_i,p18_i,p19_i,p20_i,p21_i,p22_i,p23_i,p24_i
9267,2022-04-09,33.9,33.9,34.9,33.9,32.6,32.4,35.5,40.8,41.6,42.8,40.9,40,38.9,36,35.3,34.5,34.5,30.5,30,30.7,31.2,32,31.8,32.1,88,88,88,88,83,74,70,55,58,58,62,62,70,78,78,88,88,100,100,99,98,97,95,93,0,0,0,0,13,16.7,24.1,0,0,0,5.6,9.3,0,0,5.6,0,0,5.6,1.7,3.6,2.8,0.4,0,0,Planeta,,35,35,35,35,35,35,3,3,3,3,3,3,6,6,6,3,3,6,7,7,7,7,15,42
6429,2020-08-07,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
6430,2020-08-08,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
6431,2020-08-09,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
6432,2020-08-10,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
6433,2020-08-11,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
6434,2020-08-12,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
6435,2020-08-13,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
6436,2020-08-14,25,26.5,26.5,27.1,29.3,32.5,32.8,34.2,38.9,39.7,42.2,41.5,40.4,39.3,36.5,34.6,27.4,24.6,22.9,23.4,23.8,24.5,22,24.4,59,60,69,76,80,78,69,65,66,66,52,58,62,66,74,78,62,72,68,58,51,54,61,58,5.3,5.1,1.9,2.6,3.6,5.6,9.3,11.1,22.2,16.7,7.4,7.4,7.4,9.3,11.1,9.3,4.1,4.1,4.5,5.1,5.1,5.3,5.3,5.3,Cesar,,35,35,7,15,15,36,36,3,3,3,3,3,3,3,3,4,4,3,3,35,35,35,41,35
8969,2022-02-24,31.4,31.4,32.5,29.6,30.2,31.3,34,40.3,41.1,41.7,42.3,40.2,39.3,34.8,34.2,31.9,30.4,29.9,29.1,29.3,29.4,29.9,30.7,31.1,83,83,78,73,73,63,58,43,43,43,46,51,58,78,78,94,100,100,95,94,89,88,88,86,0,0,0,11.1,14.8,29.5,27.8,0,0,9.3,0,0,5.6,7.4,7.4,0,0,0,2.1,4.1,1.3,0.4,0,0,Planeta,,35,35,35,35,35,34,3,3,3,3,3,3,3,3,3,3,3,3,7,7,36,38,36,36
