"ID","HORA_1","HORA_2","HORA_3","HORA_4","HORA_5","HORA_6","HORA_7","HORA_8","HORA_9","HORA_10","HORA_11","HORA_12","HORA_13","HORA_14","HORA_15","HORA_16","HORA_17","HORA_18","HORA_19","HORA_20","HORA_21","HORA_22","HORA_23","HORA_24","TOTAL","FECHA","TIPO_FECHA","FILE_TYPE"
60,43900,419000,408000,399000,39700,410000,391000,383000,411000,426000,445000,464000,450000,461000,486000,488000,478000,466000,513000,556000,560000,557000,521000,475000,10250600,01-MAR-11,"0","txf"
61,43100,411000,40000,391000,389000,402000,383000,375000,403000,418000,437000,454000,441000,452000,476000,479000,469000,457000,503000,545000,549000,546000,511000,466000,10040100,02-MAR-11,"0","txf"
62,427000,407000,396000,387000,385000,39800,380000,371000,399000,41400,433000,450000,437000,447000,472000,474000,465000,453000,498000,540000,544000,541000,506000,46100,9539300,03-MAR-11,"0","txf"
63,435000,415000,404000,395000,393000,406000,387000,379000,407000,423000,441000,459000,446000,456000,481000,48400,474000,462000,508000,551000,555000,552000,516000,471000,10464400,04-MAR-11,"0","txf"
64,449000,42900,415000,405000,402000,404000,39000,385000,401000,416000,43.1,44600,443000,440000,440000,436000,424000,420000,487000,53300,531000,529000,510000,481000,8597843.1,05-MAR-11,"2","txf"
65,456000,438000,423000,412000,40500,40200,388000,376000,370000,370000,377000,391000,400000,404000,407000,406000,399000,399000,469000,525000,537000,536000,505000,468000,9536700,06-MAR-11,"2","txf"
66,428000,408000,397000,38800,386000,399000,381000,373000,400000,415000,434000,451000,439000,449000,473000,475000,466000,454000,500000,542000,54600,542000,507000,463000,9875400,07-MAR-11,"2","txf"
67,430000,41000,39.9,390000,388000,401000,383000,375000,402000,41800,43600,454000,441000,451000,476000,478000,468000,456000,502000,544000,548000,545000,510000,465000,9233439.9,08-MAR-11,"2","txf"
68,447000,426000,414000,405000,403000,417000,397000,389000,417000,433000,453000,471000,458000,468000,494000,496000,48600,474000,521000,56500,569000,566000,529000,483000,10235100,09-MAR-11,"0","txf"
69,433000,413000,402000,39300,391000,404000,385000,37700,405000,420000,439000,457000,44.4,454000,479000,481000,47200,46000,506000,548000,552000,549000,514000,468000,8870244.4,10-MAR-11,"0","txf"
70,43000,411000,399000,390000,389000,40200,383000,375000,402000,418000,436000,454000,441000,451000,476000,47800,469000,456000,502000,545000,549000,545000,510000,465000,9597000,11-MAR-11,"0","txf"
71,437000,418000,404000,394000,391000,392000,38000,374000,390000,404000,419000,433000,431000,427000,428000,42400,413000,409000,474000,51800,517000,514000,496000,468000,9165200,12-MAR-11,"1","txf"
72,444000,427000,412000,401000,395000,392000,378000,366000,360000,360000,367000,381000,390000,393000,396000,396000,388000,389000,457000,512000,522000,522000,492000,456000,9996000,13-MAR-11,"2","txf"
73,435000,415000,404000,395000,393000,406000,387000,379000,407000,423000,441000,45900,446000,45700,482000,484000,474000,462000,508000,551000,555000,552000,516000,471000,10077600,14-MAR-11,"0","txf"
74,437000,41700,406000,397000,395000,408000,389000,381000,409000,424000,443000,461000,448000,458000,48400,486000,476000,464000,510000,553000,557000,55400,518000,473000,9638500,15-MAR-11,"0","txf"
75,446000,42.6,414000,405000,403000,417000,397000,389000,417000,433000,453000,471000,458000,468000,494000,496000,486000,474000,521000,565000,56900,566000,529000,483000,10241942.6,16-MAR-11,"0","txf"
76,446000,426000,414000,40500,403000,416000,397000,389000,417000,433000,452000,471000,457000,46800,493000,496000,486000,473000,521000,565000,569000,565000,529000,482000,10387300,17-MAR-11,"0","txf"
77,444000,424000,412000,403000,401000,414000,395000,387000,415000,431000,450000,468000,455000,465000,491000,493000,483000,471000,518000,562000,566000,563000,52600,480000,10643600,18-MAR-11,"0","txf"
78,455000,43500,420000,410000,407000,40800,395000,389000,406000,421000,436000,45100,448000,445000,446000,441000,429000,425000,493000,539000,538000,535000,516000,487000,9610400,19-MAR-11,"1","txf"
79,454000,436000,42100,410000,403000,400000,386000,374000,368000,368000,376000,38900,398000,402000,405000,405000,397000,397000,467000,523000,534000,53300,503000,466000,9006300,20-MAR-11,"2","txf"
80,445000,428000,414000,402000,39600,393000,379000,368000,362000,361000,369000,382000,391000,395000,398000,397000,39000,39000,459000,514000,524000,524000,494000,458000,8974600,21-MAR-11,"2","txf"
81,425000,406000,395000,38.6,384000,397000,378000,370000,398000,413000,431000,44900,436000,446000,470000,473000,463000,45100,497000,538000,542000,539000,504000,460000,9455038.6,22-MAR-11,"0","txf"
82,432000,412000,401000,392000,390000,40300,385000,376000,404000,420000,43800,456000,443000,453000,478000,480000,471000,459000,505000,547000,551000,548000,512000,467000,10066100,23-MAR-11,"0","txf"
83,446000,425000,414000,405000,403000,416000,397000,388000,417000,433000,452000,470000,457000,467000,493000,495000,485000,473000,52000,564000,568000,565000,528000,482000,10695000,24-MAR-11,"0","txf"
84,449000,429000,41700,408000,406000,419000,40000,391000,420000,436000,456000,47400,461000,47100,497000,499000,489000,477000,525000,569000,573000,569000,533000,486000,9668200,25-MAR-11,"0","txf"
85,469000,448000,433000,422000,420000,421000,407000,401000,418000,434000,450000,465000,462000,459000,459000,455000,443000,438000,508000,556000,554000,551000,532000,502000,11107000,26-MAR-11,"1","txf"
86,480000,461000,446000,433000,427000,424000,408000,396000,390000,389000,397000,412000,421000,425000,429000,42.8,420000,420000,49400,553000,565000,564000,532000,493000,9934442.8,27-MAR-11,"2","txf"
87,472000,45000,438000,428000,426000,440000,420000,411000,441000,458000,478000,498000,484000,49500,522000,524000,514000,501000,551000,597000,602000,598000,559000,51000,10507500,28-MAR-11,"0","txf"
88,467000,446000,434000,424000,422000,436000,416000,407000,437000,454000,474000,493000,479000,49000,517000,520000,509000,496000,546000,592000,596000,592000,554000,506000,11266000,29-MAR-11,"0","txf"
89,467000,446000,434000,424000,422000,436000,416000,407000,437000,45400,474000,49300,479000,490000,51700,520000,509000,496000,546000,59200,596000,59200,554000,506000,9323800,30-MAR-11,"0","txf"
90,468000,447000,435000,42500,423000,437000,417000,40.8,43.8,455000,475000,494000,480000,491000,518000,521000,510000,497000,547000,593000,597000,594000,555000,507000,10503584.6,31-MAR-11,"0","txf"
91,497000,475000,462000,451000,448000,450000,430000,434000,468000,486000,505000,522000,509000,519000,540000,538000,529000,522000,576000,616000,621000,616000,584000,535000,12333000,01-APR-11,"0","txf"
92,49200,474000,459000,44700,443000,437000,425000,425000,442000,458000,468000,48200,482000,483000,484000,481000,472000,470000,547000,596000,594000,59000,571000,540000,9952100,02-APR-11,"1","txf"
93,515000,492000,47500,460000,454000,446000,43300,422000,419000,41500,419000,431000,437000,441000,444000,440000,435000,440000,518000,573000,584000,584000,559000,523000,10168300,03-APR-11,"2","txf"
94,490000,468000,455000,444000,442000,443000,424000,428000,461000,479000,497000,51500,501000,511000,532000,530000,521000,514000,568000,607000,611000,607000,575000,527000,11686500,04-APR-11,"0","txf"
95,491000,469000,45600,445000,443000,44400,425000,429000,462000,480000,498000,516000,502000,512000,533000,532000,523000,515000,569000,60.8,613000,609000,57600,529000,10242660.8,05-APR-11,"0","txf"
96,478000,457000,444000,433000,43.1,433000,413000,418000,45000,46700,485000,502000,489000,499000,519000,518000,509000,502000,554000,592000,597000,592000,561000,515000,10601743.1,06-APR-11,"0","txf"
97,480000,459000,445000,435000,433000,434000,415000,419000,452000,46900,487000,504000,491000,501000,521000,520000,511000,503000,556000,594000,599000,595000,563000,517000,11480900,07-APR-11,"0","txf"
98,481000,460000,446000,436000,434000,435000,416000,420000,453000,470000,48.8,505000,492000,502000,522000,521000,512000,505000,557000,59600,600000,596000,565000,518000,10905648.8,08-APR-11,"0","txf"
99,474000,456000,44200,430000,427000,421000,41000,410000,426000,441000,451000,46500,464000,46500,466000,463000,454000,45300,52700,574000,572000,569000,550000,520000,8844200,09-APR-11,"1","txf"
100,487000,465000,449000,435000,429000,422000,409000,399000,39600,392000,396000,408000,413000,41.7,419000,416000,411000,416000,490000,542000,552000,552000,528000,494000,9963641.7,10-APR-11,"2","txf"
101,466000,446000,433000,422000,420000,422000,40300,40700,439000,455000,47.3,490000,47700,48600,506000,505000,496000,489000,540000,577000,582000,578000,547000,502000,9492347.3,11-APR-11,"0","txf"
102,469000,448000,435000,425000,423000,424000,405000,40900,441000,458000,476000,492000,479000,489000,509000,507000,499000,492000,543000,580000,58.5,581000,550000,504000,10669958.5,12-APR-11,"0","txf"
103,47200,451000,438000,427000,425000,427000,408000,412000,444000,461000,47900,495000,483000,492000,512000,51100,502000,495000,547000,584000,589000,585000,554000,50800,9928000,13-APR-11,"0","txf"
104,480000,459000,446000,435000,433000,43400,415000,419000,452000,469000,487000,504000,491000,501000,521000,520000,511000,504000,556000,594000,599000,595000,564000,517000,11515400,14-APR-11,"0","txf"
105,485000,464000,451000,440000,438000,439000,420000,424000,457000,474000,493000,510000,497000,507000,527000,52600,517000,509000,563000,601000,606000,602000,570000,523000,11569600,15-APR-11,"0","txf"
106,469000,451000,437000,425000,422000,416000,405000,405000,421000,436000,446000,459000,459000,460000,461000,457000,449000,448000,521000,567000,565000,56200,54300,514000,10203500,16-APR-11,"1","txf"
107,49000,469000,453000,439000,432000,425000,412000,402000,399000,395000,399000,411000,416000,42000,423000,419000,414000,419000,494000,546000,557000,556000,532000,498000,10001000,17-APR-11,"2","txf"
