"ID","YEAR","TYPE","USER_ID","SESSION_ID"
1,2011,"TIPICO",1,1
2,2014,"TIPICO",1,1
3,2025,"TIPICO",1,1
4,2024,"TIPICO",1,1
5,2012,"TIPICO",1,1
6,2015,"TIPICO",1,1
7,2017,"TIPICO",1,1
8,2019,"TIPICO",1,1
9,2021,"ATIPICO",1,1
10,2016,"TIPICO",1,1
11,2022,"TIPICO",1,1
12,2023,"TIPICO",1,1
13,2013,"TIPICO",1,1
14,2018,"TIPICO",1,1
15,2020,"ATIPICO",1,1
41,2011,"TIPICO",3,41
42,2014,"TIPICO",3,41
43,2025,"TIPICO",3,41
44,2024,"TIPICO",3,41
45,2012,"TIPICO",3,41
46,2015,"TIPICO",3,41
47,2017,"TIPICO",3,41
48,2019,"TIPICO",3,41
49,2021,"TIPICO",3,41
50,2016,"TIPICO",3,41
51,2022,"TIPICO",3,41
52,2023,"TIPICO",3,41
53,2013,"TIPICO",3,41
54,2018,"TIPICO",3,41
55,2020,"TIPICO",3,41
81,2011,"TIPICO",3,81
82,2014,"TIPICO",3,81
83,2025,"TIPICO",3,81
84,2024,"TIPICO",3,81
85,2012,"TIPICO",3,81
86,2015,"TIPICO",3,81
87,2017,"TIPICO",3,81
88,2019,"TIPICO",3,81
89,2021,"TIPICO",3,81
90,2016,"TIPICO",3,81
91,2022,"TIPICO",3,81
92,2023,"TIPICO",3,81
93,2013,"TIPICO",3,81
94,2018,"TIPICO",3,81
95,2020,"TIPICO",3,81
101,2026,"TIPICO",1,101
102,2011,"TIPICO",1,101
103,2014,"TIPICO",1,101
104,2025,"TIPICO",1,101
105,2024,"TIPICO",1,101
106,2012,"TIPICO",1,101
107,2015,"TIPICO",1,101
108,2017,"TIPICO",1,101
109,2019,"TIPICO",1,101
110,2021,"TIPICO",1,101
111,2016,"TIPICO",1,101
112,2022,"TIPICO",1,101
113,2023,"TIPICO",1,101
114,2013,"TIPICO",1,101
115,2018,"TIPICO",1,101
116,2020,"TIPICO",1,101
21,2011,"TIPICO",1,21
22,2014,"TIPICO",1,21
23,2025,"TIPICO",1,21
24,2024,"TIPICO",1,21
25,2012,"TIPICO",1,21
26,2015,"TIPICO",1,21
27,2017,"TIPICO",1,21
28,2019,"TIPICO",1,21
29,2021,"TIPICO",1,21
30,2016,"TIPICO",1,21
31,2022,"TIPICO",1,21
32,2023,"TIPICO",1,21
33,2013,"TIPICO",1,21
34,2018,"TIPICO",1,21
35,2020,"TIPICO",1,21
61,2011,"TIPICO",3,61
62,2014,"TIPICO",3,61
63,2025,"TIPICO",3,61
64,2024,"TIPICO",3,61
65,2012,"TIPICO",3,61
66,2015,"TIPICO",3,61
67,2017,"TIPICO",3,61
68,2019,"TIPICO",3,61
69,2021,"TIPICO",3,61
70,2016,"TIPICO",3,61
71,2022,"TIPICO",3,61
72,2023,"TIPICO",3,61
73,2013,"TIPICO",3,61
74,2018,"TIPICO",3,61
75,2020,"TIPICO",3,61
121,2026,"TIPICO",1,121
122,2011,"TIPICO",1,121
123,2014,"TIPICO",1,121
124,2025,"TIPICO",1,121
125,2024,"TIPICO",1,121
126,2012,"TIPICO",1,121
127,2015,"TIPICO",1,121
128,2017,"TIPICO",1,121
129,2019,"TIPICO",1,121
130,2021,"TIPICO",1,121
131,2016,"TIPICO",1,121
132,2022,"TIPICO",1,121
133,2023,"TIPICO",1,121
134,2013,"TIPICO",1,121
135,2018,"TIPICO",1,121
136,2020,"TIPICO",1,121
