"ID","MODEL_NAME","USER_ID","SESSION_ID","START_DATE","END_DATE","CREATED_AT","UPDATED_AT"
1,"pruebas 22",1,1,01-JAN-24,31-DEC-25,20-JUN-25,20-JUN-25
61,"Test",3,1,01-JAN-25,31-DEC-25,24-OCT-25,24-OCT-25
101,"JamerJ",3,41,01-JAN-25,31-DEC-26,14-JAN-26,14-JAN-26
121,"JM",1,41,01-JAN-25,31-DEC-26,15-JAN-26,15-JAN-26
162,"dempou",1,21,01-JAN-26,31-DEC-28,07-MAY-26,07-MAY-26
81,"Jamer",1,41,01-JAN-25,31-DEC-26,19-DEC-25,19-DEC-25
161,"M2024",1,21,01-JAN-24,31-DEC-24,29-APR-26,29-APR-26
181,"JJM24",1,21,01-JAN-24,31-DEC-24,11-MAY-26,11-MAY-26
241,"Test_coverage",1,101,01-JAN-24,31-DEC-24,21-MAY-26,21-MAY-26
261,"Test_coverage",1,21,01-JAN-24,31-DEC-24,25-MAY-26,25-MAY-26
21,"modelo nuevo",1,1,01-JAN-25,31-DEC-25,04-JUL-25,04-JUL-25
142,"pruebas 1",1,1,01-JAN-25,31-DEC-26,26-JAN-26,26-JAN-26
221,"JJM240",1,21,01-JAN-24,31-DEC-24,15-MAY-26,15-MAY-26
141,"pruebas 2",1,21,01-JAN-25,31-DEC-26,15-JAN-26,15-JAN-26
201,"JM",3,21,01-JAN-24,31-DEC-24,11-MAY-26,11-MAY-26
205,"JJM",3,21,01-JAN-24,31-DEC-24,11-MAY-26,11-MAY-26
222,"JJM26",1,101,01-JAN-26,31-DEC-29,15-MAY-26,15-MAY-26
41,"Prueba",1,21,01-JAN-25,31-DEC-25,09-JUL-25,09-JUL-25
42,"2024-prueba",1,1,01-JAN-24,31-DEC-24,10-JUL-25,10-JUL-25
